Name	Team	GK	DF	MF	FW	Cost	GW1	GW2	GW3	GW4	GW5	Next_Opponent1	Next_Opponent2	Next_Opponent3	Next_Opponent4	Next_Opponent5	News	Selected
Jota	Wolves	0	0	1	0	6.5	1.9	1.3507221498969888	2.086907388024069	2.3433433911282426	1.5123853875280602	Leicester	Man City	West Ham	Burnley	Man Utd		5.9
Daniels	Bournemouth	0	1	0	0	4.5	1.8	2.1407666503975182	1.3967806062258499	1.9536734515761767	1.6954157662110672	West Ham	Everton	Chelsea	Leicester	Burnley		16.8
Wilson	Bournemouth	0	0	0	1	6.0	1.8	2.1407666503975182	1.3967806062258499	1.9536734515761767	1.6954157662110672	West Ham	Everton	Chelsea	Leicester	Burnley		6.9
Jorginho	Chelsea	0	0	1	0	5.1	1.8	1.8074662360157032	2.2073203837261772	2.51699407396489	1.852828111209555	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		12.9
Joselu	Newcastle	0	0	0	1	5.0	1.7999999999999998	1.4612994653620388	0.8576069433316279	1.5345882287666026	1.5449338061151847	Cardiff	Chelsea	Man City	Arsenal	Crystal Palace		3.6
Kanté	Chelsea	0	0	1	0	5.0	1.7	1.7070514451259418	2.0846914735191673	2.3771610698557297	1.7498932161423575	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		22.1
Bertrand	Southampton	0	1	0	0	5.0	1.6999999999999997	1.84952672527226	1.666619769396419	2.1794328905464138	1.2575499937181926	Everton	Leicester	Crystal Palace	Brighton	Liverpool		7.0
Pereyra	Watford	0	0	1	0	6.1	1.7000000000000002	2.1044065369231006	1.507350062393442	1.559313900704722	1.9049548340880709	Burnley	Crystal Palace	Spurs	Man Utd	Fulham		5.5
Wilshere	West Ham	0	0	1	0	5.0	1.7	1.1628588628122452	1.6639884309075696	1.4235950158011847	1.3200896178585348	Bournemouth	Arsenal	Wolves	Everton	Chelsea		4.7
van Aanholt	Crystal Palace	0	1	0	0	5.5	1.5999999999999999	1.8774179944659959	2.237584865266305	2.068284315389852	2.115002702633198	Liverpool	Watford	Southampton	Huddersfield	Newcastle		6.0
Foster	Watford	1	0	0	0	4.5	1.6000000000000003	1.9806179171040947	1.418682411664416	1.4675895536044445	1.7928986673770078	Burnley	Crystal Palace	Spurs	Man Utd	Fulham		5.0
Patrício	Wolves	1	0	0	0	4.5	1.6	1.1374502314922013	1.7573956951781635	1.9733418030553624	1.2735876947604718	Leicester	Man City	West Ham	Burnley	Man Utd		6.2
Groß	Brighton	0	0	1	0	7.0	1.5	1.2812888168488314	2.1845975241511995	1.791870290384947	1.4500127861159366	Man Utd	Liverpool	Fulham	Southampton	Spurs		6.1
Milivojevic	Crystal Palace	0	0	1	0	6.5	1.4	1.6427407451577463	1.9578867571080165	1.8097487759661204	1.8506273648040479	Liverpool	Watford	Southampton	Huddersfield	Newcastle		8.4
Holebas	Watford	0	1	0	0	4.6	1.4	1.7330406774660825	1.2413471102063638	1.2841408594038886	1.5687863339548818	Burnley	Crystal Palace	Spurs	Man Utd	Fulham		5.3
Cédric	Southampton	0	1	0	0	4.5	1.2999999999999998	1.4143439663846693	1.274473941303144	1.6666251515943165	0.9616558775492062	Everton	Leicester	Crystal Palace	Brighton	Liverpool		7.4
Neves	Wolves	0	0	1	0	5.1	1.2999999999999998	0.9241783130874134	1.4278840023322579	1.6033402149824818	1.0347900019928833	Leicester	Man City	West Ham	Burnley	Man Utd		21.9
Zaha	Crystal Palace	0	0	0	1	7.0	1.2	1.408063495849497	1.6781886489497286	1.551213236542389	1.5862520269748983	Liverpool	Watford	Southampton	Huddersfield	Newcastle		31.9
Ryan	Brighton	1	0	0	0	4.5	1.1	0.9396117990224764	1.6020381843775464	1.3140382129489614	1.0633427098183537	Man Utd	Liverpool	Fulham	Southampton	Spurs		5.0
Jiménez	Wolves	0	0	0	1	5.5	1.0	0.7109063946826257	1.0983723094863522	1.2333386269096014	0.7959923092252948	Leicester	Man City	West Ham	Burnley	Man Utd		4.9
